flight_id,departure,arrival,start_time,end_time,duration_hours
FL001,BOM,DEL,2026-09-01 06:00:00,2026-09-01 08:00:00,2.0
FL002,BOM,BLR,2026-09-01 07:00:00,2026-09-01 09:00:00,2.0
FL003,DEL,HYD,2026-09-01 10:00:00,2026-09-01 12:00:00,2.0
FL004,BOM,MAA,2026-09-01 09:30:00,2026-09-01 11:30:00,2.0
FL005,BLR,DEL,2026-09-01 11:00:00,2026-09-01 13:00:00,2.0
FL006,HYD,BOM,2026-09-01 13:00:00,2026-09-01 15:00:00,2.0
FL007,MAA,BLR,2026-09-01 13:30:00,2026-09-01 15:30:00,2.0
FL008,DEL,BOM,2026-09-01 14:00:00,2026-09-01 16:00:00,2.0
FL009,BLR,HYD,2026-09-01 16:00:00,2026-09-01 18:00:00,2.0
FL010,BOM,DEL,2026-09-01 17:00:00,2026-09-01 19:00:00,2.0
